FLastName, Attempt #,Attempt Start,Attempt End,Section #,Q #,Q Type,Q Title,Q Text,Bonus?,Difficulty,Answer,Answer Match,Score,Out Of
12345b52f4462637dac17f1e2481f2f3b032568dfd526f0d71e06d32bdcfbc6f91471, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Disney sues you,UnChecked,1,1
12345b52f4462637dac17f1e2481f2f3b032568dfd526f0d71e06d32bdcfbc6f91471, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Paul Bettany joins you,UnChecked,1,1
12345b52f4462637dac17f1e2481f2f3b032568dfd526f0d71e06d32bdcfbc6f91471, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,You have two ships,Checked,1,1
12345b52f4462637dac17f1e2481f2f3b032568dfd526f0d71e06d32bdcfbc6f91471, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,6,T/F,,Something can be both New and Improved,False,1,True,Checked,0,1
12345b52f4462637dac17f1e2481f2f3b032568dfd526f0d71e06d32bdcfbc6f91471, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,6,T/F,,Something can be both New and Improved,False,1,False,UnChecked,0,1
12345b52f4462637dac17f1e2481f2f3b032568dfd526f0d71e06d32bdcfbc6f91471, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 1,Bologna,0,1
12345b52f4462637dac17f1e2481f2f3b032568dfd526f0d71e06d32bdcfbc6f91471, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 2,"Bologna, 2",0,1
12345b52f4462637dac17f1e2481f2f3b032568dfd526f0d71e06d32bdcfbc6f91471, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,8,MC,,Is your answer to this question 'no'?,False,1,yes,UnChecked,0,1
12345b52f4462637dac17f1e2481f2f3b032568dfd526f0d71e06d32bdcfbc6f91471, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,8,MC,,Is your answer to this question 'no'?,False,1,no,Checked,0,1
12345b52f4462637dac17f1e2481f2f3b032568dfd526f0d71e06d32bdcfbc6f91471, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,s,UnChecked,0,1
12345b52f4462637dac17f1e2481f2f3b032568dfd526f0d71e06d32bdcfbc6f91471, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,c,Checked,0,1
12345b52f4462637dac17f1e2481f2f3b032568dfd526f0d71e06d32bdcfbc6f91471, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,a,UnChecked,0,1
12345b52f4462637dac17f1e2481f2f3b032568dfd526f0d71e06d32bdcfbc6f91471, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,p,UnChecked,0,1
12345b52f4462637dac17f1e2481f2f3b032568dfd526f0d71e06d32bdcfbc6f91471, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,frozen yogurt,UnChecked,1,1
12345b52f4462637dac17f1e2481f2f3b032568dfd526f0d71e06d32bdcfbc6f91471, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,a popsicle,UnChecked,1,1
12345b52f4462637dac17f1e2481f2f3b032568dfd526f0d71e06d32bdcfbc6f91471, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,ice cream,Checked,1,1
12345b52f4462637dac17f1e2481f2f3b032568dfd526f0d71e06d32bdcfbc6f91471, 1,1/16/2025 9:30 AM,1/16/2025 9:32 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,coca cola,UnChecked,1,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,38,UnChecked,0,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,39,UnChecked,0,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,40,Checked,0,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,41,UnChecked,0,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,UnChecked,0,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,50%,Checked,0,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,60%,UnChecked,0,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,UnChecked,0,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,True,Checked,1,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,False,UnChecked,1,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,4,MC,,How many letters are in the alphabet?,False,1,11,UnChecked,0,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,4,MC,,How many letters are in the alphabet?,False,1,7,UnChecked,0,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,4,MC,,How many letters are in the alphabet?,False,1,26,UnChecked,0,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,4,MC,,How many letters are in the alphabet?,False,1,11010,Checked,0,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Disney sues you,UnChecked,0,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Paul Bettany joins you,Checked,0,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,You have two ships,UnChecked,0,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,6,T/F,,Something can be both New and Improved,False,1,True,UnChecked,1,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,6,T/F,,Something can be both New and Improved,False,1,False,Checked,1,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 1,Allison,0,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 2,Jenkins,0,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,8,MC,,Is your answer to this question 'no'?,False,1,yes,UnChecked,0,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,8,MC,,Is your answer to this question 'no'?,False,1,no,Checked,0,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,s,UnChecked,0,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,c,Checked,0,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,a,UnChecked,0,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,p,UnChecked,0,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,ice cream,UnChecked,0,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,a popsicle,UnChecked,0,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,frozen yogurt,Checked,0,1
23456ca041784fe2213cd89f782a19093087402d41812b34413248b83cd7623ae38a2, 1,1/16/2025 9:32 AM,1/16/2025 9:34 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,coca cola,UnChecked,0,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,38,UnChecked,0,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,39,UnChecked,0,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,40,Checked,0,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,41,UnChecked,0,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,Checked,0,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,50%,UnChecked,0,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,60%,UnChecked,0,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,UnChecked,0,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,True,Checked,1,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,False,UnChecked,1,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,4,MC,,How many letters are in the alphabet?,False,1,11,UnChecked,0,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,4,MC,,How many letters are in the alphabet?,False,1,7,UnChecked,0,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,4,MC,,How many letters are in the alphabet?,False,1,26,UnChecked,0,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,4,MC,,How many letters are in the alphabet?,False,1,11010,Checked,0,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Disney sues you,Checked,0,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Paul Bettany joins you,UnChecked,0,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,You have two ships,UnChecked,0,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,6,T/F,,Something can be both New and Improved,False,1,True,UnChecked,1,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,6,T/F,,Something can be both New and Improved,False,1,False,Checked,1,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 1,Carolina,0,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 2,bologna,0,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,8,MC,,Is your answer to this question 'no'?,False,1,yes,UnChecked,0,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,8,MC,,Is your answer to this question 'no'?,False,1,no,Checked,0,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,s,UnChecked,0,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,c,Checked,0,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,a,UnChecked,0,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,9,MC,,"In the word ""scent"", which letter is silent?",False,1,p,UnChecked,0,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,a popsicle,UnChecked,1,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,frozen yogurt,UnChecked,1,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,ice cream,Checked,1,1
34567c9b60b2b9419a7dd8f4a2bc29215a1b72e3c6477cdc45ff25bc4f687f322d79c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,10,MC,,"If revenge is a dish best served cold, and revenge is sweet, then revenge is:",False,1,coca cola,UnChecked,1,1
45678ff2567a604b452ead019e76681b24d4c745d3a926ac7802af117dba4888bc24c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,38,UnChecked,0,1
45678ff2567a604b452ead019e76681b24d4c745d3a926ac7802af117dba4888bc24c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,39,UnChecked,0,1
45678ff2567a604b452ead019e76681b24d4c745d3a926ac7802af117dba4888bc24c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,40,UnChecked,0,1
45678ff2567a604b452ead019e76681b24d4c745d3a926ac7802af117dba4888bc24c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,1,MC,,"What is the answer to life, the universe, and everything?",False,1,41,Checked,0,1
45678ff2567a604b452ead019e76681b24d4c745d3a926ac7802af117dba4888bc24c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,Checked,0,1
45678ff2567a604b452ead019e76681b24d4c745d3a926ac7802af117dba4888bc24c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,50%,UnChecked,0,1
45678ff2567a604b452ead019e76681b24d4c745d3a926ac7802af117dba4888bc24c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,60%,UnChecked,0,1
45678ff2567a604b452ead019e76681b24d4c745d3a926ac7802af117dba4888bc24c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,2,MC,,"If you choose the answer to this question at random, what is the chance you will be correct?",False,1,25%,UnChecked,0,1
45678ff2567a604b452ead019e76681b24d4c745d3a926ac7802af117dba4888bc24c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,True,Checked,1,1
45678ff2567a604b452ead019e76681b24d4c745d3a926ac7802af117dba4888bc24c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,3,T/F,,"Should the word ""Abbreviation"" be shorter?",False,1,False,UnChecked,1,1
45678ff2567a604b452ead019e76681b24d4c745d3a926ac7802af117dba4888bc24c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,4,MC,,How many letters are in the alphabet?,False,1,11,Checked,0,1
45678ff2567a604b452ead019e76681b24d4c745d3a926ac7802af117dba4888bc24c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,4,MC,,How many letters are in the alphabet?,False,1,7,UnChecked,0,1
45678ff2567a604b452ead019e76681b24d4c745d3a926ac7802af117dba4888bc24c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,4,MC,,How many letters are in the alphabet?,False,1,26,UnChecked,0,1
45678ff2567a604b452ead019e76681b24d4c745d3a926ac7802af117dba4888bc24c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,4,MC,,How many letters are in the alphabet?,False,1,11010,UnChecked,0,1
45678ff2567a604b452ead019e76681b24d4c745d3a926ac7802af117dba4888bc24c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Disney sues you,Checked,0,1
45678ff2567a604b452ead019e76681b24d4c745d3a926ac7802af117dba4888bc24c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,Paul Bettany joins you,UnChecked,0,1
45678ff2567a604b452ead019e76681b24d4c745d3a926ac7802af117dba4888bc24c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,5,MC,,"If you take a ship and replaced all of the parts until none of the original parts of this ship are a part of the ship, what happens?",False,1,You have two ships,UnChecked,0,1
45678ff2567a604b452ead019e76681b24d4c745d3a926ac7802af117dba4888bc24c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,6,T/F,,Something can be both New and Improved,False,1,True,Checked,0,1
45678ff2567a604b452ead019e76681b24d4c745d3a926ac7802af117dba4888bc24c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,6,T/F,,Something can be both New and Improved,False,1,False,UnChecked,0,1
45678ff2567a604b452ead019e76681b24d4c745d3a926ac7802af117dba4888bc24c, 1,1/16/2025 9:30 AM,1/16/2025 9:33 AM,,7,FIB,,"My bologna has a first name, it's _______ my bologna has a second name, it's _______ ",False,1,Answer for blank # 1,My bologna,0,1
